year,trial,date,camera,range,image,class,position,img_path ,score
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024602.JPG,1,1,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024603.JPG,0,2,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024604.JPG,0,3,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024605.JPG,0,4,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024606.JPG,0,5,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024607.JPG,0,6,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024608.JPG,0,7,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024609.JPG,0,8,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024610.JPG,0,9,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024611.JPG,0,10,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024612.JPG,0,11,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024613.JPG,1,12,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024614.JPG,0,13,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024615.JPG,0,14,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024616.JPG,0,15,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024617.JPG,0,16,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024618.JPG,0,17,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024619.JPG,0,18,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024620.JPG,1,19,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024621.JPG,0,20,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024622.JPG,0,21,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024623.JPG,0,22,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024624.JPG,0,23,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024625.JPG,0,24,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024626.JPG,0,25,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024627.JPG,1,26,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024628.JPG,0,27,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024629.JPG,0,28,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024630.JPG,0,29,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024631.JPG,0,30,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024632.JPG,0,31,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024633.JPG,0,32,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024634.JPG,1,33,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024635.JPG,0,34,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024636.JPG,0,35,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024637.JPG,0,36,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024638.JPG,0,37,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024639.JPG,0,38,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024640.JPG,1,39,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024641.JPG,0,40,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024642.JPG,0,41,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024643.JPG,0,42,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024644.JPG,0,43,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024645.JPG,0,44,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024646.JPG,0,45,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024647.JPG,1,46,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024648.JPG,0,47,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024649.JPG,0,48,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024650.JPG,0,49,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024651.JPG,0,50,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024652.JPG,0,51,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024653.JPG,1,52,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024654.JPG,0,53,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024655.JPG,0,54,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024656.JPG,0,55,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024657.JPG,0,56,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024658.JPG,0,57,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024659.JPG,0,58,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024660.JPG,1,59,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024661.JPG,0,60,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024662.JPG,0,61,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024663.JPG,0,62,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024664.JPG,0,63,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.25
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024665.JPG,0,64,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.5
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024666.JPG,0,65,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024667.JPG,1,66,2019/Outlook/2019-07-08/left_inside_L0/range_2,1.0
2019,Outlook,2019-07-08,left_inside_L0,range_2,G0024668.JPG,0,67,2019/Outlook/2019-07-08/left_inside_L0/range_2,0.75
