year,trial,date,camera,range,image,class,position,img_path ,score
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025506.JPG,0,1,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025507.JPG,0,2,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025508.JPG,0,3,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025509.JPG,0,4,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025510.JPG,0,5,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025511.JPG,0,6,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025512.JPG,0,7,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025513.JPG,0,8,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025514.JPG,0,9,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025515.JPG,0,10,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025516.JPG,0,11,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025517.JPG,1,12,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025518.JPG,0,13,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025519.JPG,0,14,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025520.JPG,0,15,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025521.JPG,0,16,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025522.JPG,0,17,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025523.JPG,0,18,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025524.JPG,1,19,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025525.JPG,0,20,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025526.JPG,0,21,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025527.JPG,0,22,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025528.JPG,0,23,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025529.JPG,0,24,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025530.JPG,0,25,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025531.JPG,1,26,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025532.JPG,0,27,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025533.JPG,0,28,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025534.JPG,0,29,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025535.JPG,0,30,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025536.JPG,0,31,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025537.JPG,0,32,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025538.JPG,0,33,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025539.JPG,1,34,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025540.JPG,0,35,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025541.JPG,0,36,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025542.JPG,0,37,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025543.JPG,0,38,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025544.JPG,0,39,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025545.JPG,0,40,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025546.JPG,1,41,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025547.JPG,0,42,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025548.JPG,0,43,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025549.JPG,0,44,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025550.JPG,0,45,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025551.JPG,0,46,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025552.JPG,0,47,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025553.JPG,1,48,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025554.JPG,0,49,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025555.JPG,0,50,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025556.JPG,0,51,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025557.JPG,0,52,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025558.JPG,0,53,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025559.JPG,1,54,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025560.JPG,0,55,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025561.JPG,0,56,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025562.JPG,0,57,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025563.JPG,0,58,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025564.JPG,0,59,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025565.JPG,0,60,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025566.JPG,1,61,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025567.JPG,0,62,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025568.JPG,0,63,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025569.JPG,0,64,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025570.JPG,0,65,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.25
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025571.JPG,0,66,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.5
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025572.JPG,0,67,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025573.JPG,1,68,2019/Outlook/2019-07-15/left_middle_L1/range_2,1.0
2019,Outlook,2019-07-15,left_middle_L1,range_2,G0025574.JPG,0,69,2019/Outlook/2019-07-15/left_middle_L1/range_2,0.75
