year,trial,date,camera,range,image,class,position,img_path ,score
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774733.JPG,0,1,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774734.JPG,0,2,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774735.JPG,0,3,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774736.JPG,0,4,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774737.JPG,0,5,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774738.JPG,0,6,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.25
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774739.JPG,0,7,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774740.JPG,0,8,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774741.JPG,1,9,2019/NUE_1/2019-08-07/left_outside_L2/range_7,1.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774742.JPG,0,10,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774743.JPG,0,11,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774744.JPG,0,12,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.25
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774745.JPG,0,13,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.25
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774746.JPG,0,14,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774747.JPG,0,15,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774748.JPG,1,16,2019/NUE_1/2019-08-07/left_outside_L2/range_7,1.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774749.JPG,0,17,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774750.JPG,0,18,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774751.JPG,0,19,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.25
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774752.JPG,0,20,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774753.JPG,0,21,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774754.JPG,1,22,2019/NUE_1/2019-08-07/left_outside_L2/range_7,1.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774755.JPG,0,23,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774756.JPG,0,24,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774757.JPG,0,25,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.25
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774758.JPG,0,26,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.25
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774759.JPG,0,27,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774760.JPG,0,28,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774761.JPG,1,29,2019/NUE_1/2019-08-07/left_outside_L2/range_7,1.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774762.JPG,0,30,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774763.JPG,0,31,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774764.JPG,0,32,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.25
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774765.JPG,0,33,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.25
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774766.JPG,0,34,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.5
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774767.JPG,0,35,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774768.JPG,1,36,2019/NUE_1/2019-08-07/left_outside_L2/range_7,1.0
2019,NUE_1,2019-08-07,left_outside_L2,range_7,G0774769.JPG,0,37,2019/NUE_1/2019-08-07/left_outside_L2/range_7,0.75
