year,trial,date,camera,range,image,class,position,img_path ,score
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319187.JPG,0,1,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.0
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319188.JPG,0,2,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.0
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319189.JPG,0,3,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.0
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319190.JPG,0,4,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.0
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319191.JPG,0,5,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.25
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319192.JPG,0,6,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.5
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319193.JPG,0,7,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.75
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319194.JPG,1,8,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,1.0
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319195.JPG,0,9,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.75
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319196.JPG,0,10,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.5
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319197.JPG,0,11,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.25
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319198.JPG,0,12,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.25
2020,NUE_1,2020-08-05,left_middle_L1,range_6_click_1,G0319199.JPG,0,13,2020/NUE_1/2020-08-05/left_middle_L1/range_6_click_1,0.5
