year,trial,date,camera,range,image,class,position,img_path ,score
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361622.JPG,0,1,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361623.JPG,0,2,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361624.JPG,0,3,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361625.JPG,0,4,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361626.JPG,0,5,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361627.JPG,0,6,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361628.JPG,1,7,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361629.JPG,0,8,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361630.JPG,0,9,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361631.JPG,0,10,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361632.JPG,0,11,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361633.JPG,0,12,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361634.JPG,1,13,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361635.JPG,0,14,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361636.JPG,0,15,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361637.JPG,0,16,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361638.JPG,0,17,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361639.JPG,0,18,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361640.JPG,1,19,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361641.JPG,0,20,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361642.JPG,0,21,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361643.JPG,0,22,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361644.JPG,0,23,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361645.JPG,0,24,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361646.JPG,1,25,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361647.JPG,0,26,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361648.JPG,0,27,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361649.JPG,0,28,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361650.JPG,0,29,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361651.JPG,0,30,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361652.JPG,1,31,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361653.JPG,0,32,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361654.JPG,0,33,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361655.JPG,0,34,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361656.JPG,0,35,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361657.JPG,0,36,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361658.JPG,0,37,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361659.JPG,1,38,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361660.JPG,0,39,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361661.JPG,0,40,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361662.JPG,0,41,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361663.JPG,0,42,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361664.JPG,0,43,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361665.JPG,1,44,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361666.JPG,0,45,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361667.JPG,0,46,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361668.JPG,0,47,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361669.JPG,0,48,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361670.JPG,0,49,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361671.JPG,0,50,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361672.JPG,1,51,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361673.JPG,0,52,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361674.JPG,0,53,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361675.JPG,0,54,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361676.JPG,0,55,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361677.JPG,0,56,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361678.JPG,1,57,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361679.JPG,0,58,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361680.JPG,0,59,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361681.JPG,0,60,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361682.JPG,0,61,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361683.JPG,0,62,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361684.JPG,0,63,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361685.JPG,1,64,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361686.JPG,0,65,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361687.JPG,0,66,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361688.JPG,0,67,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361689.JPG,0,68,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361690.JPG,0,69,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361691.JPG,1,70,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361692.JPG,0,71,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361693.JPG,0,72,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361694.JPG,0,73,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.25
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361695.JPG,0,74,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361696.JPG,0,75,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361697.JPG,1,76,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,1.0
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361698.JPG,0,77,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.75
2020,NUE_2,2020-07-06,left_middle_L1,range_7_click_1,G0361699.JPG,0,78,2020/NUE_2/2020-07-06/left_middle_L1/range_7_click_1,0.5
