year,trial,date,camera,range,image,class,position,img_path
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446214.JPG,0,1,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446215.JPG,0,2,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446216.JPG,0,3,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446217.JPG,0,4,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446218.JPG,0,5,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446219.JPG,0,6,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446220.JPG,0,7,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446221.JPG,0,8,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446222.JPG,1,9,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446223.JPG,0,10,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446224.JPG,0,11,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446225.JPG,0,12,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446226.JPG,0,13,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446227.JPG,0,14,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446228.JPG,0,15,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446229.JPG,0,16,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446230.JPG,1,17,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446231.JPG,0,18,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446232.JPG,0,19,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446233.JPG,0,20,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446234.JPG,0,21,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446235.JPG,0,22,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446236.JPG,0,23,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446237.JPG,1,24,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446238.JPG,0,25,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446239.JPG,0,26,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446240.JPG,0,27,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446241.JPG,0,28,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446242.JPG,0,29,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446243.JPG,0,30,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446244.JPG,1,31,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446245.JPG,0,32,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446246.JPG,0,33,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446247.JPG,0,34,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446248.JPG,0,35,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446249.JPG,0,36,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446250.JPG,0,37,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446251.JPG,1,38,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446252.JPG,0,39,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446253.JPG,0,40,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446254.JPG,0,41,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446255.JPG,0,42,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446256.JPG,0,43,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446257.JPG,0,44,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446258.JPG,0,45,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446259.JPG,1,46,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446260.JPG,0,47,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446261.JPG,0,48,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446262.JPG,0,49,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446263.JPG,0,50,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446264.JPG,0,51,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446265.JPG,0,52,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446266.JPG,1,53,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446267.JPG,0,54,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446268.JPG,0,55,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446269.JPG,0,56,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446270.JPG,0,57,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446271.JPG,0,58,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446272.JPG,0,59,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446273.JPG,0,60,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446274.JPG,1,61,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446275.JPG,0,62,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446276.JPG,0,63,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446277.JPG,0,64,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446278.JPG,0,65,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446279.JPG,0,66,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446280.JPG,0,67,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446281.JPG,1,68,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446282.JPG,0,69,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446283.JPG,0,70,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446284.JPG,0,71,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446285.JPG,0,72,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446286.JPG,0,73,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446287.JPG,0,74,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446288.JPG,0,75,2019/NUE_1/2019-07-17/left_middle_L1/range_6
2019,NUE_1,2019-07-17,left_middle_L1,range_6,G0446289.JPG,1,76,2019/NUE_1/2019-07-17/left_middle_L1/range_6
