year,trial,date,camera,range,image,class,position,img_path
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182976.JPG,0,1,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182977.JPG,0,2,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182978.JPG,0,3,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182979.JPG,0,4,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182980.JPG,0,5,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182981.JPG,0,6,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182982.JPG,0,7,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182983.JPG,0,8,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182984.JPG,1,9,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182985.JPG,0,10,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182986.JPG,0,11,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182987.JPG,0,12,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182988.JPG,0,13,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182989.JPG,0,14,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182990.JPG,0,15,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182991.JPG,0,16,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182992.JPG,1,17,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182993.JPG,0,18,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182994.JPG,0,19,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182995.JPG,0,20,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182996.JPG,0,21,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182997.JPG,0,22,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182998.JPG,0,23,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0182999.JPG,1,24,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183000.JPG,0,25,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183001.JPG,0,26,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183002.JPG,0,27,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183003.JPG,0,28,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183004.JPG,0,29,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183005.JPG,0,30,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183006.JPG,0,31,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183007.JPG,1,32,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183008.JPG,0,33,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183009.JPG,0,34,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183010.JPG,0,35,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183011.JPG,0,36,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183012.JPG,0,37,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183013.JPG,0,38,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183014.JPG,1,39,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183015.JPG,0,40,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183016.JPG,0,41,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183017.JPG,0,42,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183018.JPG,0,43,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183019.JPG,0,44,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183020.JPG,0,45,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183021.JPG,0,46,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183022.JPG,1,47,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183023.JPG,0,48,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183024.JPG,0,49,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183025.JPG,0,50,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183026.JPG,0,51,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183027.JPG,0,52,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183028.JPG,0,53,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183029.JPG,1,54,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183030.JPG,0,55,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183031.JPG,0,56,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183032.JPG,0,57,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183033.JPG,0,58,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183034.JPG,0,59,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183035.JPG,0,60,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183036.JPG,0,61,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183037.JPG,1,62,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183038.JPG,0,63,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183039.JPG,0,64,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
2019,NUE_2,2019-06-27,left_middle_L1,range_8_click_2,G0183040.JPG,0,65,2019/NUE_2/2019-06-27/left_middle_L1/range_8_click_2
