year,trial,date,camera,range,image,class,position,img_path 
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753988.JPG,0,1,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753989.JPG,0,2,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753990.JPG,0,3,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753991.JPG,0,4,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753992.JPG,0,5,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753993.JPG,0,6,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753994.JPG,0,7,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753995.JPG,0,8,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753996.JPG,1,9,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753997.JPG,0,10,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753998.JPG,0,11,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0753999.JPG,0,12,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0754000.JPG,0,13,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0754001.JPG,0,14,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0754002.JPG,1,15,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0754003.JPG,0,16,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0754004.JPG,0,17,2019/NUE_1/2019-08-07/left_outside_L2/range_6
2019,NUE_1,2019-08-07,left_outside_L2,range_6,G0754005.JPG,0,18,2019/NUE_1/2019-08-07/left_outside_L2/range_6
