year,trial,date,camera,range,image,class,position,img_path ,score
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581702.JPG,0,142,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581588.JPG,0,28,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.25
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581710.JPG,0,150,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.75
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581574.JPG,0,14,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.0
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581685.JPG,0,125,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.25
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581694.JPG,0,134,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581800.JPG,0,240,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.75
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581639.JPG,0,79,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581775.JPG,0,215,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.0
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581750.JPG,0,190,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.75
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581691.JPG,0,131,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581597.JPG,0,37,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.25
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581681.JPG,0,121,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.75
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581562.JPG,0,2,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.0
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581769.JPG,0,209,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581799.JPG,0,239,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581751.JPG,0,191,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581561.JPG,0,1,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.0
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581627.JPG,0,67,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.25
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581746.JPG,0,186,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.25
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581703.JPG,0,143,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.75
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581770.JPG,0,210,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.75
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581621.JPG,0,61,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581728.JPG,0,168,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.75
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581777.JPG,0,217,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581620.JPG,0,60,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.25
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581737.JPG,0,177,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.25
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581752.JPG,0,192,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.25
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581563.JPG,0,3,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.0
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581780.JPG,0,220,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.75
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581604.JPG,0,44,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.0
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581665.JPG,0,105,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581648.JPG,0,88,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.0
2019,NUE_2,2019-07-17,left_middle_L1,range_4,G0581602.JPG,0,42,2019/NUE_2/2019-07-17/left_middle_L1/range_4,0.5
