name,misses,inconsistent,false pred
0.75_2019_NUE_2_2019-06-27_range_6.csv,15,53,1
0.25_2019_NUE_2_2019-07-10_range_2.csv,8,5,0
robust-feather-13.pt_2019_NUE_1_2019-06-27_range_1.csv,8,37,1
1_2020_NUE_1_2020-08-05_range_5_click_1.csv,15,21,0
robust-feather-13.pt_2020_NUE_2_2020-07-06_range_3.csv,0,5,0
robust-feather-13.pt_2019_NUE_1_2019-07-17_range_3.csv,1,9,1
0.5_2020_NUE_1_2020-06-22_range_8_click_1.csv,2,20,0
0.25_2020_NUE_2_2020-06-22_range_1.csv,2,19,1
0.25_2019_NUE_1_2019-08-07_range_7.csv,18,18,0
robust-feather-13.pt_2020_NUE_1_2020-07-06_range_6_click_1.csv,0,8,0
block_patches_2020_NUE_2_2020-08-05_range_4.csv,1,11,16
0.75_2020_NUE_1_2020-06-22_range_8_click_1.csv,7,21,0
0.5_2019_NUE_2_2019-07-17_range_4.csv,15,14,0
0.75_2020_NUE_2_2020-06-29_range_2.csv,10,6,0
0.5_2019_NUE_1_2019-07-17_range_3.csv,11,13,0
0.75_2020_NUE_2_2020-06-22_range_1.csv,7,28,2
block_patches_2020_NUE_1_2020-06-29_range_7_click_1.csv,0,16,0
0.5_2019_NUE_1_2019-06-27_range_1.csv,12,39,0
robust-feather-13.pt_2019_NUE_1_2019-07-10_range_8.csv,1,11,0
0.5_2020_NUE_2_2020-06-29_range_2.csv,8,4,0
1_2020_NUE_1_2020-07-06_range_6_click_1.csv,13,9,0
block_patches_2020_NUE_1_2020-06-22_range_8_click_1.csv,0,15,0
0.25_2020_NUE_2_2020-07-06_range_3.csv,6,7,0
0.25_2019_NUE_1_2019-06-27_range_1.csv,15,40,1
block_patches_2019_NUE_1_2019-07-10_range_8.csv,1,11,0
0.5_2020_NUE_1_2020-06-29_range_7_click_1.csv,7,15,0
0.25_2019_NUE_1_2019-07-17_range_3.csv,6,10,0
robust-feather-13.pt_2019_NUE_2_2019-08-07_range_5.csv,7,7,0
1_2019_NUE_2_2019-07-17_range_4.csv,22,14,0
block_patches_2019_NUE_2_2019-08-07_range_5.csv,7,7,0
block_patches_2020_NUE_1_2020-08-05_range_5_click_1.csv,0,13,0
block_patches_2019_NUE_2_2019-07-10_range_2.csv,0,6,14
0.75_2019_NUE_2_2019-08-07_range_5.csv,23,13,0
0.75_2019_NUE_1_2019-07-17_range_3.csv,12,13,0
0.75_2019_NUE_1_2019-06-27_range_1.csv,27,37,2
0.25_2020_NUE_2_2020-06-29_range_2.csv,7,5,0
1_2020_NUE_2_2020-07-06_range_3.csv,17,5,0
0.5_2020_NUE_2_2020-08-05_range_4.csv,7,9,0
0.5_2019_NUE_2_2019-06-27_range_6.csv,9,52,1
robust-feather-13.pt_2020_NUE_2_2020-08-05_range_4.csv,1,10,0
robust-feather-13.pt_2020_NUE_1_2020-06-22_range_8_click_1.csv,0,15,0
0.25_2020_NUE_1_2020-06-29_range_7_click_1.csv,2,17,0
robust-feather-13.pt_2020_NUE_2_2020-06-29_range_2.csv,4,5,0
1_2019_NUE_2_2019-07-10_range_2.csv,26,12,0
block_patches_2019_NUE_1_2019-06-27_range_1.csv,8,37,1
robust-feather-13.pt_2019_NUE_1_2019-08-07_range_7.csv,14,15,0
0.25_2020_NUE_1_2020-08-05_range_5_click_1.csv,3,15,0
0.75_2019_NUE_2_2019-07-17_range_4.csv,18,18,0
block_patches_2020_NUE_1_2020-07-06_range_6_click_1.csv,0,8,0
0.75_2020_NUE_1_2020-06-29_range_7_click_1.csv,8,17,0
robust-feather-13.pt_2019_NUE_2_2019-07-17_range_4.csv,1,13,0
1_2020_NUE_2_2020-06-29_range_2.csv,17,6,0
0.25_2020_NUE_2_2020-08-05_range_4.csv,4,10,0
0.5_2020_NUE_1_2020-08-05_range_5_click_1.csv,8,19,0
0.75_2020_NUE_2_2020-08-05_range_4.csv,13,11,0
0.5_2019_NUE_1_2019-07-10_range_8.csv,12,11,0
1_2019_NUE_1_2019-06-27_range_1.csv,18,46,1
0.75_2019_NUE_1_2019-08-07_range_7.csv,31,19,0
1_2019_NUE_2_2019-08-07_range_5.csv,38,16,0
1_2020_NUE_1_2020-06-22_range_8_click_1.csv,10,20,1
0.5_2019_NUE_2_2019-08-07_range_5.csv,16,9,0
0.5_2020_NUE_1_2020-07-06_range_6_click_1.csv,5,6,0
robust-feather-13.pt_2020_NUE_2_2020-06-22_range_1.csv,1,19,1
block_patches_2020_NUE_2_2020-06-29_range_2.csv,4,5,0
block_patches_2020_NUE_2_2020-07-06_range_3.csv,0,5,0
robust-feather-13.pt_2019_NUE_2_2019-06-27_range_6.csv,1,49,1
0.25_2020_NUE_1_2020-07-06_range_6_click_1.csv,0,11,0
0.75_2020_NUE_2_2020-07-06_range_3.csv,8,6,0
robust-feather-13.pt_2019_NUE_2_2019-07-10_range_2.csv,0,5,0
0.75_2019_NUE_1_2019-07-10_range_8.csv,17,13,0
robust-feather-13.pt_2020_NUE_1_2020-08-05_range_5_click_1.csv,0,13,0
1_2020_NUE_2_2020-06-22_range_1.csv,14,26,2
block_patches_2019_NUE_2_2019-06-27_range_6.csv,1,49,1
0.25_2020_NUE_1_2020-06-22_range_8_click_1.csv,1,17,2
0.75_2020_NUE_1_2020-07-06_range_6_click_1.csv,10,7,0
robust-feather-13.pt_2020_NUE_1_2020-06-29_range_7_click_1.csv,0,16,0
1_2020_NUE_2_2020-08-05_range_4.csv,17,14,0
1_2019_NUE_2_2019-06-27_range_6.csv,22,58,2
0.25_2019_NUE_2_2019-07-17_range_4.csv,10,13,0
0.5_2020_NUE_2_2020-06-22_range_1.csv,6,23,2
0.25_2019_NUE_1_2019-07-10_range_8.csv,4,13,0
0.25_2019_NUE_2_2019-08-07_range_5.csv,14,6,0
1_2019_NUE_1_2019-07-10_range_8.csv,23,17,0
0.5_2019_NUE_2_2019-07-10_range_2.csv,13,4,0
0.5_2019_NUE_1_2019-08-07_range_7.csv,23,19,0
0.5_2020_NUE_2_2020-07-06_range_3.csv,5,7,0
0.25_2019_NUE_2_2019-06-27_range_6.csv,10,51,1
block_patches_2019_NUE_1_2019-07-17_range_3.csv,1,9,1
block_patches_2020_NUE_2_2020-06-22_range_1.csv,1,19,1
0.75_2020_NUE_1_2020-08-05_range_5_click_1.csv,11,19,0
1_2020_NUE_1_2020-06-29_range_7_click_1.csv,17,17,0
0.75_2019_NUE_2_2019-07-10_range_2.csv,19,9,0
1_2019_NUE_1_2019-07-17_range_3.csv,21,17,0
block_patches_2019_NUE_2_2019-07-17_range_4.csv,1,13,0
1_2019_NUE_1_2019-08-07_range_7.csv,35,26,0
block_patches_2019_NUE_1_2019-08-07_range_7.csv,14,15,0
